Brand,Model,Fuel_Type,Transmission,Body_Type,Color,Price_INR,Engine_Size,Horsepower,Top_Speed,Customisable_Interiors,Mileage_kmpl,Units_Sold,Profitability
Tata,TAT475,Diesel,Manual,Coupe,White,1757000.0,1.2,69,129,No,18.5,517,1
Mercedes,MER451,Petrol,Manual,Coupe,Red,13237000.0,3.6,276,305,No,15.1,162,0
Honda,HON992,Hybrid,Manual,SUV,Grey,2501000.0,2.3,138,199,No,25.0,645,1
Honda,HON434,Petrol,Automatic,SUV,Green,2344000.0,3.3,151,183,Yes,19.3,317,1
Maruti Suzuki,MAR409,Diesel,Manual,Hatchback,Black,2122000.0,1.6,80,128,No,18.4,643,1
Honda,HON874,Petrol,Manual,Pickup,Red,3608000.0,2.4,233,203,No,13.2,286,1
Hyundai,HYU151,Petrol,Manual,Pickup,White,3349000.0,1.3,181,200,No,19.0,427,1
Maruti Suzuki,MAR373,Hybrid,Automatic,Pickup,Blue,1158000.0,1.8,66,170,Yes,21.3,793,1
Honda,HON591,Petrol,Manual,SUV,Grey,1846000.0,1.7,205,197,No,17.1,383,1
Toyota,TOY613,Electric,Automatic,Hatchback,Red,3445000.0,2.4,130,167,No,27.7,425,1
Tata,TAT860,Diesel,Manual,Coupe,Blue,1288000.0,1.5,116,129,Yes,16.7,625,1
Ford,FOR611,Hybrid,Manual,Hatchback,Blue,2829000.0,2.6,92,209,No,29.3,617,1
Mercedes,MER427,Petrol,Automatic,SUV,Blue,16088000.0,4.1,221,220,No,16.9,288,1
Kia,KIA977,Petrol,Manual,Pickup,White,3130000.0,2.9,239,214,No,15.6,730,1
Honda,HON593,Petrol,Manual,Sedan,Grey,2285000.0,1.3,143,204,Yes,12.0,528,1
Hyundai,HYU768,Diesel,Automatic,Sedan,Black,2419000.0,2.1,175,213,No,14.8,740,1
Honda,HON463,Petrol,Manual,SUV,Green,2610000.0,1.7,162,151,Yes,13.4,327,1
Ford,FOR558,Petrol,Manual,SUV,Green,3149000.0,2.2,236,168,No,16.6,197,1
BMW,BMW998,Petrol,Automatic,Sedan,Blue,15064000.0,2.4,291,185,Yes,20.0,327,1
Hyundai,HYU502,Petrol,Automatic,Coupe,White,2844000.0,2.6,100,232,Yes,13.7,532,1
Mahindra,MAH961,Diesel,Automatic,Coupe,Green,1787000.0,1.3,165,219,No,12.5,323,1
BMW,BMW994,Petrol,Automatic,Coupe,Blue,14809000.0,3.4,321,252,No,15.2,73,0
Audi,AUD282,Diesel,Automatic,SUV,Black,9513000.0,4.6,435,206,Yes,14.2,280,1
Tata,TAT115,Petrol,Manual,SUV,Grey,1554000.0,1.4,61,129,No,17.7,486,1
Hyundai,HYU900,Petrol,Manual,Pickup,Black,2042000.0,1.7,197,141,Yes,12.8,554,1
Maruti Suzuki,MAR193,Diesel,Automatic,SUV,White,1841000.0,1.2,99,134,Yes,12.8,722,1
Ford,FOR824,Diesel,Automatic,SUV,Silver,4343000.0,3.1,153,193,No,13.6,208,1
Honda,HON913,Diesel,Automatic,Hatchback,Silver,2394000.0,3.3,92,146,No,13.7,199,1
Kia,KIA723,Petrol,Automatic,Coupe,Grey,4422000.0,3.1,144,198,Yes,15.0,614,1
Tata,TAT348,Hybrid,Automatic,Pickup,Black,1526000.0,1.3,97,144,Yes,25.5,236,1
Maruti Suzuki,MAR539,Petrol,Automatic,SUV,Green,2159000.0,1.8,68,172,Yes,15.9,518,1
Audi,AUD865,Petrol,Manual,Coupe,Green,17209000.0,4.4,294,202,Yes,14.1,573,1
Audi,AUD642,Diesel,Automatic,Pickup,Green,8678000.0,2.4,405,248,No,16.2,350,1
Audi,AUD898,Electric,Manual,Sedan,White,6475000.0,2.8,184,244,No,26.8,30,0
BMW,BMW760,Diesel,Manual,SUV,Silver,13746000.0,4.0,404,194,No,12.1,332,1
Kia,KIA300,Diesel,Automatic,Hatchback,Green,2187000.0,3.3,229,187,No,16.8,199,1
BMW,BMW126,Petrol,Manual,Coupe,Blue,15742000.0,3.3,283,262,Yes,12.4,326,1
BMW,BMW717,Electric,Manual,SUV,Red,7476000.0,4.2,202,222,Yes,28.7,30,0
Ford,FOR224,Hybrid,Automatic,Sedan,Silver,2604000.0,2.9,137,185,No,24.8,230,1
Hyundai,HYU829,Petrol,Manual,Coupe,White,4038000.0,3.4,207,195,Yes,12.2,641,1
Maruti Suzuki,MAR688,Petrol,Manual,SUV,Blue,680000.0,1.5,95,140,No,18.2,372,1
Mahindra,MAH644,Hybrid,Automatic,Sedan,Grey,1660000.0,1.4,206,179,No,26.9,66,1
Audi,AUD225,Petrol,Manual,Pickup,Red,17241000.0,4.4,367,199,Yes,16.7,189,0
Honda,HON223,Diesel,Manual,SUV,Green,2477000.0,1.4,236,150,Yes,19.6,252,1
Hyundai,HYU532,Petrol,Manual,Coupe,Grey,3535000.0,3.2,207,236,Yes,17.3,516,1
BMW,BMW831,Diesel,Manual,Hatchback,Blue,14272000.0,4.5,247,214,Yes,13.8,372,1
BMW,BMW107,Electric,Automatic,Sedan,Green,6247000.0,4.1,260,244,Yes,39.6,270,1
Hyundai,HYU590,Electric,Manual,SUV,Black,4604000.0,2.3,227,207,No,29.8,339,1
Hyundai,HYU889,Electric,Manual,Coupe,Silver,1690000.0,1.4,201,203,Yes,35.9,625,1
Hyundai,HYU418,Hybrid,Manual,Coupe,Silver,1578000.0,1.9,176,235,Yes,23.2,680,1
Toyota,TOY999,Petrol,Automatic,Hatchback,White,2818000.0,1.7,93,209,Yes,12.2,442,1
Honda,HON335,Petrol,Manual,SUV,White,4483000.0,2.4,240,203,No,20.0,633,1
Maruti Suzuki,MAR887,Petrol,Manual,Hatchback,Grey,1258000.0,1.5,97,172,No,19.9,497,1
Ford,FOR932,Petrol,Manual,Sedan,Red,3694000.0,2.2,157,199,No,13.9,304,1
Honda,HON453,Diesel,Automatic,Coupe,Green,2105000.0,1.9,127,182,Yes,12.1,329,1
Audi,AUD649,Petrol,Automatic,Sedan,Red,16558000.0,3.3,283,227,No,13.7,225,0
Maruti Suzuki,MAR625,Petrol,Automatic,Hatchback,Green,2127000.0,1.9,88,156,Yes,13.3,476,1
BMW,BMW619,Petrol,Manual,Pickup,Grey,17954000.0,2.7,434,225,Yes,16.9,30,0
Tata,TAT243,Petrol,Manual,Coupe,Red,821000.0,1.2,71,166,Yes,14.8,511,1
Mercedes,MER966,Hybrid,Automatic,SUV,White,7854000.0,4.9,418,244,Yes,29.9,143,1
Mercedes,MER753,Diesel,Automatic,Sedan,Grey,14231000.0,4.1,221,237,Yes,13.8,30,0
BMW,BMW482,Petrol,Manual,SUV,Grey,8686000.0,3.6,340,220,No,12.7,195,1
Audi,AUD827,Petrol,Manual,Hatchback,Grey,8864000.0,4.7,438,240,No,18.5,337,1
Tata,TAT855,Petrol,Automatic,Hatchback,Silver,1625000.0,1.6,65,144,Yes,15.0,632,1
Audi,AUD394,Petrol,Manual,Pickup,Black,9550000.0,2.2,239,227,No,12.6,107,0
Honda,HON281,Petrol,Automatic,Coupe,Silver,4027000.0,2.3,166,221,Yes,18.6,648,1
Ford,FOR816,Diesel,Automatic,Pickup,Grey,3206000.0,1.8,230,203,No,17.3,180,1
Honda,HON657,Diesel,Manual,Hatchback,Blue,4595000.0,3.2,203,206,No,17.6,601,1
Hyundai,HYU369,Diesel,Manual,Sedan,Green,3702000.0,1.6,230,209,No,12.2,779,1
BMW,BMW978,Petrol,Manual,SUV,Blue,13391000.0,2.4,270,232,No,13.3,312,1
Honda,HON803,Petrol,Manual,Pickup,Blue,2511000.0,1.2,135,189,Yes,19.8,510,1
BMW,BMW823,Petrol,Manual,SUV,Grey,12801000.0,2.8,351,217,No,18.2,289,1
BMW,BMW352,Petrol,Manual,SUV,Red,13141000.0,4.9,272,224,Yes,19.5,189,1
BMW,BMW459,Petrol,Manual,Hatchback,Silver,8104000.0,4.8,365,184,No,14.4,195,1
Honda,HON538,Petrol,Manual,Hatchback,Black,3182000.0,2.0,189,143,No,19.0,476,1
Ford,FOR193,Petrol,Manual,Coupe,Grey,5150000.0,3.4,209,189,Yes,18.1,330,1
Mercedes,MER131,Petrol,Manual,SUV,Silver,15245000.0,4.0,300,199,Yes,20.0,30,0
Kia,KIA366,Diesel,Manual,Hatchback,White,2549000.0,2.2,116,203,Yes,17.5,518,1
Mercedes,MER459,Petrol,Automatic,Pickup,Red,9356000.0,4.9,220,210,Yes,19.5,396,1
Hyundai,HYU737,Petrol,Manual,Hatchback,Silver,2794000.0,2.7,153,161,No,19.9,684,1
Honda,HON171,Diesel,Automatic,Coupe,Grey,1820000.0,1.7,94,225,Yes,14.9,419,1
Tata,TAT144,Petrol,Manual,SUV,Blue,2075000.0,1.5,118,131,No,18.9,606,1
Toyota,TOY666,Petrol,Automatic,SUV,Grey,4428000.0,3.0,190,150,No,12.3,508,1
Hyundai,HYU708,Hybrid,Automatic,Coupe,Silver,4622000.0,2.6,217,213,Yes,21.2,606,1
Audi,AUD763,Petrol,Automatic,Hatchback,Blue,9973000.0,2.6,312,184,No,16.7,136,0
Mahindra,MAH825,Petrol,Automatic,Hatchback,Grey,2361000.0,3.0,139,176,No,12.1,274,1
BMW,BMW247,Petrol,Manual,Coupe,Blue,11152000.0,3.8,258,283,Yes,18.9,146,0
Honda,HON510,Diesel,Manual,Coupe,Black,3384000.0,1.3,166,187,No,13.9,810,1
Ford,FOR120,Petrol,Manual,Coupe,Silver,3354000.0,2.5,91,202,No,16.1,346,1
Mahindra,MAH512,Diesel,Manual,Hatchback,White,1510000.0,2.0,95,146,No,15.2,329,1
Hyundai,HYU903,Diesel,Manual,Sedan,Blue,3637000.0,3.0,122,153,Yes,12.8,390,1
Ford,FOR945,Hybrid,Manual,Sedan,Silver,3293000.0,2.8,95,214,Yes,20.5,621,1
Mahindra,MAH542,Diesel,Manual,Coupe,Black,4552000.0,2.8,218,203,Yes,18.5,353,1
Ford,FOR900,Petrol,Manual,Hatchback,White,1885000.0,3.3,177,205,No,15.6,410,1
Hyundai,HYU683,Petrol,Manual,Sedan,Red,3021000.0,1.4,99,159,Yes,13.3,877,1
Tata,TAT298,Electric,Manual,Sedan,Red,2006000.0,1.2,118,140,No,27.7,592,1
Maruti Suzuki,MAR949,Hybrid,Manual,Hatchback,Silver,1447000.0,1.6,103,133,Yes,30.0,769,1
BMW,BMW733,Petrol,Manual,Coupe,Black,16709000.0,4.0,233,281,Yes,12.6,413,1
Honda,HON623,Hybrid,Automatic,Coupe,Grey,3861000.0,2.9,158,204,Yes,23.7,433,1
Mercedes,MER552,Diesel,Manual,Coupe,Red,16721000.0,2.1,414,269,No,15.5,184,0
Toyota,TOY845,Petrol,Automatic,Coupe,Grey,4510000.0,3.3,157,199,Yes,16.7,667,1
Mercedes,MER528,Petrol,Manual,Hatchback,Blue,15649000.0,2.6,348,224,No,17.9,260,1
Audi,AUD528,Diesel,Automatic,SUV,White,14006000.0,2.5,244,247,Yes,13.4,147,0
Mahindra,MAH732,Petrol,Manual,Coupe,Blue,3870000.0,2.3,129,240,No,15.6,30,0
Mahindra,MAH273,Diesel,Manual,Pickup,White,2936000.0,1.6,152,217,No,14.1,335,1
BMW,BMW815,Petrol,Manual,Pickup,Blue,13742000.0,3.0,388,189,No,19.8,30,0
Audi,AUD464,Petrol,Automatic,SUV,Grey,6136000.0,2.5,320,203,No,18.6,209,1
Hyundai,HYU358,Petrol,Manual,Sedan,Green,2660000.0,1.8,188,196,Yes,13.3,677,1
Mahindra,MAH216,Petrol,Manual,Hatchback,Grey,3304000.0,3.1,218,186,Yes,18.9,483,1
Maruti Suzuki,MAR277,Petrol,Manual,Coupe,Grey,859000.0,1.1,76,123,No,16.2,580,1
Kia,KIA178,Diesel,Manual,Coupe,Green,4111000.0,1.9,171,182,Yes,13.2,194,1
Mercedes,MER543,Electric,Automatic,SUV,Green,17408000.0,4.9,181,246,No,34.6,179,0
Maruti Suzuki,MAR566,Diesel,Manual,Sedan,White,1451000.0,1.5,100,128,Yes,12.2,762,1
Mercedes,MER909,Petrol,Manual,Sedan,Silver,9243000.0,4.1,234,227,Yes,19.8,241,1
Toyota,TOY363,Hybrid,Manual,SUV,Grey,2916000.0,3.2,118,195,Yes,28.4,302,1
Toyota,TOY211,Petrol,Manual,Hatchback,Grey,4566000.0,2.8,169,189,No,19.0,332,1
Maruti Suzuki,MAR767,Petrol,Manual,SUV,Silver,2193000.0,1.7,100,132,No,17.3,610,1
Kia,KIA752,Diesel,Manual,Sedan,Silver,2578000.0,2.7,107,192,Yes,20.0,500,1
Tata,TAT993,Petrol,Manual,Sedan,Green,1926000.0,1.6,104,172,Yes,15.2,462,1
Mahindra,MAH962,Hybrid,Automatic,Coupe,Silver,2682000.0,2.7,219,233,No,28.0,493,1
Tata,TAT504,Hybrid,Manual,Hatchback,Blue,756000.0,1.5,60,139,Yes,23.7,460,1
Mercedes,MER882,Diesel,Automatic,Sedan,Silver,10700000.0,4.1,284,211,Yes,13.9,30,0
Ford,FOR868,Diesel,Automatic,SUV,Silver,1768000.0,2.6,196,189,No,15.7,259,1
Mercedes,MER918,Hybrid,Automatic,Sedan,Red,11261000.0,4.6,320,213,No,20.3,30,0
Kia,KIA189,Hybrid,Manual,Coupe,White,2734000.0,2.5,175,222,No,27.6,120,1
BMW,BMW209,Petrol,Manual,SUV,Black,17817000.0,4.2,437,181,No,13.6,212,0
Mercedes,MER165,Petrol,Automatic,Hatchback,Black,16439000.0,2.2,432,204,No,12.8,258,1
Mercedes,MER401,Diesel,Automatic,Hatchback,Silver,10214000.0,2.8,256,201,No,18.4,30,0
Kia,KIA752,Diesel,Manual,Coupe,Blue,3355000.0,2.8,133,208,No,13.0,409,1
Maruti Suzuki,MAR409,Hybrid,Automatic,Coupe,White,887000.0,1.7,70,151,Yes,27.1,624,1
Maruti Suzuki,MAR600,Diesel,Manual,Coupe,Red,1077000.0,2.0,89,168,No,16.4,459,1
Maruti Suzuki,MAR695,Petrol,Manual,Coupe,Red,696000.0,1.6,117,156,No,18.6,557,1
Maruti Suzuki,MAR246,Petrol,Manual,SUV,Black,942000.0,1.6,84,170,Yes,19.2,660,1
Honda,HON258,Petrol,Automatic,Sedan,Blue,2477000.0,1.7,214,161,No,18.6,722,1
Hyundai,HYU864,Petrol,Manual,Sedan,Blue,1775000.0,2.6,162,186,No,13.3,425,1
Toyota,TOY191,Hybrid,Automatic,Hatchback,Red,3875000.0,3.2,124,147,No,20.2,583,1
Maruti Suzuki,MAR157,Hybrid,Manual,Coupe,Green,1408000.0,1.2,83,155,Yes,25.0,843,1
Honda,HON396,Petrol,Manual,SUV,Grey,4220000.0,1.5,201,172,Yes,15.4,596,1
Audi,AUD781,Petrol,Manual,Hatchback,Black,14137000.0,2.4,208,230,Yes,16.6,415,1
Tata,TAT371,Petrol,Automatic,Sedan,Black,947000.0,1.1,65,173,No,13.5,334,1
Honda,HON242,Diesel,Automatic,SUV,Grey,2282000.0,1.4,173,145,Yes,18.4,343,1
Ford,FOR596,Petrol,Automatic,Sedan,Black,2323000.0,2.4,230,192,Yes,16.3,174,1
Mercedes,MER992,Petrol,Manual,Sedan,Grey,15882000.0,5.0,358,219,No,17.8,30,0
Tata,TAT881,Petrol,Automatic,SUV,White,1282000.0,1.1,93,177,Yes,13.4,351,1
Ford,FOR721,Petrol,Automatic,SUV,Red,2744000.0,1.4,162,200,Yes,14.8,444,1
Mercedes,MER150,Petrol,Manual,Pickup,Blue,15959000.0,4.4,430,196,Yes,15.2,210,0
Toyota,TOY587,Petrol,Manual,Sedan,White,4146000.0,2.4,189,147,Yes,18.0,517,1
